,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
0,2007-01-16,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,1.3125,0,0.95,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-23.849999999999998,0,1,0,0,0,-1,-1,-18.857833333333314,train
1,2007-01-17,5.0,4.0,STA 654+78,4.3385,7.6805,3.34,1,0.10000000000000003,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-23.0,0,1,0,0,0,-1,-1,-17.993500000000004,train
2,2007-01-18,5.0,4.0,STA 654+78,4.3405000000000005,9.98,5.6395,2,-2.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-20.9,0,1,0,0,0,-1,-1,-14.428000000000008,train
3,2007-01-19,5.0,4.0,STA 654+78,4.339,12.3295,7.988999999999999,3,-6.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-16.299999999999997,0,1,0,0,0,-1,-1,-13.622833333333316,train
4,2007-01-20,5.0,4.0,STA 654+78,,13.0,8.6595,4,-4.75,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-18.15,0,1,0,0,0,-1,-1,-14.789166666666672,train
5,2007-01-22,5.0,4.0,STA 654+78,4.339,13.0,8.6595,6,-8.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-14.599999999999998,0,1,0,0,0,-1,-1,-13.552999999999995,train
6,2007-01-23,5.0,4.0,STA 654+78,4.338,13.0,8.6595,7,-7.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-15.599999999999998,0,1,0,0,0,-1,-1,-13.662833333333321,train
7,2007-01-25,5.0,4.0,STA 654+78,4.339,13.0,8.6595,9,-10.4,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-12.499999999999998,0,1,0,0,0,-1,-1,-11.9735,train
8,2007-01-26,5.0,4.0,STA 654+78,4.338,14.903,10.5625,10,-11.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-11.599999999999998,0,1,0,0,0,-1,-1,-10.07000000000001,train
9,2007-01-27,5.0,4.0,STA 654+78,4.337,17.509,13.1685,11,-12.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-10.599999999999998,0,1,0,0,0,-1,-1,-10.512500000000012,train
